,Chapter,Topic,Content
27,Chapter 5 - The Fundamental Unit of Life,Cell Theory,"The cell theory, that all the plants and animals are composed of cells and that the cell is the basic unit of life, was presented by two biologists, schleiden (1838) and Schwann (1839). The cell theory was further expanded by Virchow (1855) by suggesting that all cells arise from pre-existing cells. With the discovery of the electron microscope in 1940, it was possible to observe and understand the complex structure of the cell and its various organelles. Types of organisms There are two types of cells: Unicellular Multicellular Unicellular-Those organisms which are composed of single cell are known as unicellular organisms, which perform all the function. Ex-Amoeba, Paramecium, Chlamydomonas and bacteria. Multicellular- Those organisms which are composed of many cells which are known as multicellular, which perform all the different functions in it to form various body parts. Ex- fungi, plants and animals. The shape and size of cells are related to the specific function they perform. Some cells like Amoeba have changing shapes could be more or less fixed and peculiar for a particular type of cell; Ex- nerve cells have a typical shape. Each living cell has the capacity to perform certain basic functions that are characteristics of all living forms. There is a division of labour in multicellular organisms such as human beings. This means that different parts of the human body perform different functions. The human body has a heart to pump blood, a stomach to digest food and so on. Similarly, division of labour is also seen within a single cell. Each cell has got certain specific components within it known as cell organelles. Each kind of cell organelle performs a specific function, such as making new material in the cell, clearing up the waste material from the cell and so on. A cell is able to live and perform all its functions because of these organelles. These organelles together constitute the basic unit called the cell."
28,Chapter 5 - The Fundamental Unit of Life,What is a Cell Made Up of? What is the Structural Organisation of a Cell?,"Cell has special components called organelles. Cell under a microscope, we would come across three features in almost every cell; plasma membrane, nucleus and cytoplasm. PLASMA MEMBRANE OR CELL MEMBRANE This is the outermost covering of the cell that separates the contents of the cell from its external environment. The plasma membrane allows permits the entry and exit of some materials in and out of the cell. It also prevents movement of some other materials. The cell membrane, therefore, is called a selectively permeable membrane. Diffusion: Some substances like carbon dioxide or oxygen can move across the cell membrane by a process called diffusion. Substance like CO2 (which is cellular waste and requires to be excreted out by the cell) accumulates in high concentrations inside the cell. In the cell’s external environment, the concentration of CO2 is low as compared to that inside the cell. As soon as there is a difference of concentration of CO2 inside and outside the cell, CO2 moves out of the cell, from a region of high concentration, to a region of low concentration outside the cell by the process diffusion. Similarly, O2 enters the cell by the process of diffusion when level or concentration of O2 inside the cell decreases. Thus, diffusion plays an important role in gaseous exchange between the cells as well as the xell and its external environment. Water also obeys the law of diffusion. The movement of water molecules through such a selectively permeable membrane is called osmosis. Osmosis is the passage of water from a region of high concentration through a semi- permeable membrane to a region of low water concentration. There are three following things could happen when we put an animal cell or plant cell into a solution of sugar or salt:- If the medium surrounding the cell has a higher water concentration that the cell, meaning that th4e outside solution is very dilute, such a solution is known as a hypotonic solution. Water molecules are free to pass across the cell membrane in both directions, but more water will come into the cell that will leave. The net (overall) result is that water enters the cell. The cell is likely to swell up. If the medium has exactly the same water concentrate as the cell, there will be no net movement of water across the cell membrane. Such a solution is known as an isotonic solution. Water crosses the cell membrane in both directions, but the amount going in is the same as the amount going out, so there is no overall movement of water. The cell will stay the same size. If the medium has a lower concentration of water than the cell, meaning that is a very concentrated solution, the cell will lose water by osmosis. Such solution is known as a hypertonic solution. Again, water crosses the cell membrane in both directions, but this time more water leaves the cell than enters it. Therefore the cell will shrink. The plasma membrane is flexible and is made up of organic molecules called lipids and proteins. However, we can observe the structure of the plasma membrane through an electron microscope. The flexibility of the cell membrane also enables the cell to engulf in food and other material from its external environment. Such processes are known as endocytosis. Amoeba acquires its food through such processes."
29,Chapter 5 - The Fundamental Unit of Life,Cell Wall,"Plant cells, in addition to the plasma membrane, have another rigid outer covering called the cell wall. The cell wall lies outside the plasma membrane. The plant cell wall is mainly composed of cellulose. Cellulose is a complex substance and provides structural strength to plants. When a living plant cell loses water through osmosis there is shrinkage or contraction of the contents of the cell away from the cell wall. This phenomenon is known as plasmolysis. It appears that only living cells, and not dead cells, are able to absorb water by osmosis. Cell walls permit the cells of plants, fungi and bacteria to withstand very dilute (hypotonic) external media without brusting."
30,Chapter 5 - The Fundamental Unit of Life,Nucleus,"The nucleus has a double layered covering called nuclear membrane. The nuclear membrane has pores which allow the transfer of material from inside the nucleus to its outside, that is, to the cytoplasm. The nucleus contains chromosomes, which are visible as rod-shaped structures only when the cell is about to divide. Chromosomes contain information for inheritance of features from parents to next to next generation in the form of DNA (Deoxyribo Nucleic Acid) molecules. Chromosomes are composed of DNA and protein. DNA molecules contain the information necessary for constructing and organising cells. Functional segments of DNA are called genes. In a cell which is not dividing, this DNA is present as part of chromatin material. Chromatin material is visible as entangled mass of thread like structures. Whenever the cell is about to divide, the chromatin material gets organised into chromosomes. The nucleus plays a central role in cellular reproduction, the process by which a single cell divides and forms two new cells. It also plays a crucial part, along with the environment, in determining the way the cell will develop and what form it will exhibit at maturity, by directing the chemical activities of the cell. In some organisms like bacteria, the nuclear region of the cell may be poorly defined due to the absence of a nuclear membrane. Such an undefined nuclear region containing only nucleic acids is called a nucleoid. Prokaryotes:- Such organisms, whose cells lack a nuclear membrane, are called prokaryotes (pro= primitive or primary; karyote = karyon = nucleus). Eukaryotes:- Organisms with cells having a nuclear membrane are called eukaryotes. Difference between prokaryotic and eukaryotic cells:- Prokaryotes Eukaryotes Cells of organism lacks nuclear membrane. Cells of organism have nuclear membrane. Single chromosomes. Single or multi chromosomes. Reproduction is always asexual. Reproduction is both sexual and asexual. Always unicellular. Often multicellular. Membrane bound cell organelles absent. Membrane bound organelles are present like mitochondria Cell division is by binary fission. Cell division is by mitosis or meiosis. Centriole is absent. Centriole is present only in animals. Size: generally small ( 1 -10 μm) 1 μm=10-6m Size : generally large (5=100 μm) Ex-Bacteria, Blue green algae, etc. Ex- Fungi, plant cell, Animal cell etc. Fig:- It shows the difference between the prokaryotic cell and Eukaryotic cell."
31,Chapter 5 - The Fundamental Unit of Life,Cell Organelles,"A cell has to perform different functions with the help of its various membrane-bound organelles. It has to synthesize substances, e.g., protein synthesis by ribosomes, lipid synthesis on the surface of smooth endoplasmic reticulum (SER), photosynthesis of food (e.g., glucose, starch) by6 chloroplasts. It has to secrete cell products, e.g., enzymes, hormones, mucus, etc. it has to digest those substance which are taken up by the cell during endocytosis. Such intracellular digestion is done by enzymes of lysosomes. It has to generate energy, e.g., synthesis of energy- rich ATP (adenosine triphosphate) by mitochondria. Every cell has a membrane around it to keep its own contents separate from the external environment. Large and complex cells, including cells from multicellular organisms, need a lot of chemical activities to support their complicated structure and function. To keep these activities of different kinds separate from each other, these cells use membrane-bound little structures (or ‘organelles’) within themselves. This is one of the features of the eukaryotic cells that distinguish them from prokaryotic cells. Some of these organelles are visible only with an electron microscope. Some important examples of cell organelles are as follows:- Endoplasmic reticulum, Golgi apparatus, lysosomes, mitochondria, plastids and vacuoles. ENDOPLASMIC RETICULUM:- The endoplasmic reticulum (ER) is a large network of membrane- bound tubes and sheets. It looks like long tubules or round or oblong bags (vesicles). The ER membrane is similar in structure to the plasma membrane. There are two types of ER- rough endoplasmic reticulum (RER) and smooth endoplasmic reticulum (SER). RER(Rough endoplasmic reticulum):- It looks rough under a microscope because it has particles called ribosomes, which are present in all active cells, are the sites of protein manufacture. The manufactured proteins are then sent to various places in the cell depending on nee, using the ER. SER(Smooth endoplasmic reticulum):- The SER helps in the manufacture of fat molecules, or lipids, important for cell function. some of these proteins and lipids help in building the cell membrane biogenesis. Some other proteins and lipids function as enzymes and hormones. Although the ER varies greatly in appearance in different cells, it always forms a network system. Thus, one function of the ER is to serve as channels for the transport of materials (especially proteins) between various regions of the cytoplasm or between the cytoplasm and the nucleus. The ER also functions as a cytoplasmic framework providing a surface for some of the biological activities of the cell. In the liver cells of the group of animals called vertebrates. SER plays a crucial role in detoxifying many poisons and drugs. GOLGI APPARATUS The Golgi apparatus, first described by Camillo Golgi, consists of a system of membrane-bound vesicles arranged approximately parallel to each other in stacks called cisterns. These membranes often have connections with the membranes of ER and therefore constitute another portion of a complex cellular membrane system. The material synthesized near the ER is packaged and dispatched to various targets inside and outside the cell through the Golgi apparatus. Its function include the storage, modification and packaging of products in vesicles. In some cases, complex sugars may be made from simple sugars in the Golgi apparatus. The Golgi apparatus is also involved cin the formation of lysosomes. LYSOSOMES Lysosomes are a kind of waste disposal system of the cell. Lysosomes help to keep the cell clean by digesting any foreign material as well as worn-out cell organelles. Foreign material entering the cell, such as bacteria or food, as well as old organelles end up in the lysosomes, which break them up into small pieces. Lysosomes are able to do this because they contain powerful digestive enzymes capable of breaking down all organic material. During the disturbance in cellular metabolism, fir example, when the cell gets damaged, lysosomes may burst and the enzymes digest their own cell. Therefore, lysosomes are known as the ‘suicidal bags’ of a cell. Structurally, lysosomes are membrane-bound sacs filled with digestive enzymes. These enzymes are made by RER. MITOCHONDRIA Mitochondria are known as the powerhouse of the cell. The energy required for various chemical activities needed for life is released by mitochondria in the form of ATP (Adenosine triphosphate) molecules. ATP is known as the energy currency of the cell. The body uses energy stored in ATP for making new chemical compounds and for mechanical work. Mitochondria have two membrane coverings instead of just one. The outer membrane is very porous while the inner membrane is deeply folded. These folds create a large surface area for ATP-generating chemical reactions. Mitochondria are strange organelles in the sense that have their own DNA and ribosomes. Therefore, mitochondria are able to make some of their own proteins. PLASTIDS Plastids are present only in plant cells. There are two types of plastids-chromoplasts (coloured plastids) and leucuplasts (white or colourless plastids). Plastids containing the pigment chlorophyll are known as chloroplasts. Chloroplasts also contain various yellow or orange pigments in addition to chlorophyll. leucoplasts are primarily organelles in which materials such as starch, oils and protein granuels are stored. The internal organisation of the plastids consists of numerous membrane layers embedded in a material called the stroma. Plastids are similar to mitochondria in external structure. Like the mitochondria, plastids also have their own DNA and ribosomes. VACUOLES Vacuoles are storage sacs for solid or liquid contents. Vacuoles are small sized in animal cells while olant cells have very large vacuoles. The central vacuole of some plant cells may occupy 50-90% of the cell volume. In plant cells vacuoles are full of cell sap and provide turgidity and rigidity to the cell. Many substances of importance in the life of the plant cell are stored in vacuoles. These include amino acid, sugars, various organic acids and some proteins. In single-celled organisms like Amoeba, the food vacuole contains the food items that the Amoeba has consumed. In some unicellular organisms, specialised vacuoles also play important roles in expelling excess water and some wastes from the cell. Each cell thus acquires its structure and ability to function because of the organisation of its membrane and organelles in specific ways. The cell thus has a basic structural organisation. This helps the cells to perform functions like respiration, obtaining nutrition, and clearing of waste material, or forming new proteins. Thus, the cell is the fundamental structural unit of living organisms. It is also the basic functional unit of life."
32,Chapter 6 - Tissues,Animal Tissues,"Breathing is one of the most vital activity for humans. When we breathe, we can, in fact, feel the movement of our lungs and diaphragm. For breathing, we have specialized cells in our bodies, called muscle cells. The contraction and relaxation of these muscle cells result in movement. During breathing we inhale oxygen and it goes to our two lungs and then it transported to all cells of our body through the blood. Mitochondria present in each and every cell of our body, utilises oxygen to generate energy in the form of ATP molecules. These ATP molecules provide energy for all sorts of activities performed by our body cells. Blood is a fluid connective tissue. It flows and connect different parts of body. It carries oxygen and food to all cells and in return collects metabolic wastes (e.g., carbon dioxide) from them. Blood and muscles are both examples of tissues found in our body. On the basis of the functions they perform in the body of multicellular animals, the animal tissues are classified as 1. Epithelial tissue 2. Muscle or muscular tissue 3. Connective tissue 4. Nervous tissue. Epithelial Tissue:-Epithelial tissue is the simplest tissue. It is a protective tissue of the animal body. The cells of this tissue are tightly packed and they form a continuous sheet. Cells of epithelial contain very little or no intercellular matrix. The tissues covers most organs and cavities within the body. It also forms barrier to keep different body systems separate. The skin and lining of buccal cavity, blood vessels, alveoli and kidneys tubules are made of epithelial tissue. Epithelial cells lie on a delicate non-cellular basement membrane which contains a special form of matrix protein, called collagen. Functions of Epithelial tissue:- The cells of the body surface form the outer layer skin. These protect the underlying cells from drying, injury, and chemical effects. They also protect the body from viral or bacterial infection. Inside the body, epithelial cells form lining of mouth and alimentary canal and protect these organs. Epithelial tissues help in absorption of water and nutrients. Epithelial tissues help in elimination of waste products. Some epithelial tissues perform secretory function. They secrete a variety of substances such as sweat, saliva, enzymes, etc. There are four types of epithelial tissue:- Squamous epithelial Cuboidal epithelial Columnar epithelial Glandular epithelial Ciliated epithelial Squamous epithelial:- Squamous epithelial cells are extremely thin and flat and form a delicate lining. The oesophagus and the lining of the mouth are also covered with squamous epithelium. The skin, which protects the body, is also made of squamous epithelium. Cuboidal epithelial:- It consists of cube-like cells which are square in section but the free surface appear hexagonal. It is found in kidney tubules, thyroid vesicles and in glands (e.g., salivary glands, sweat glands and exocrine pancreas). It forms germinal epithelium of gonads (tastes and ovaries). It helps in absorption, excretion and secretion. It also provides mechanical support. Columnar epithelial:- The columnar epithelial consists of cells which are taller than broader (i.e., pillar-like). The nuclei are towards the base and sometimes the free ends of cells have a brush border containing microvilli. It forms the lining of stomach, small intestine and colon, forming mucous membrane. It also forms lining of gall bladder and oviducts and facilitates movement across the cells. Its main functions include absorption (e.g., stomach, intestine ) and secretion (e.g., mucus by goblet cells or mucus membrane). Glandular epithelial:- The columnar epithelial is often modified to form glands which secrete chemicals. Ciliated epithelial:-Ciliated cuboidal epithelial is found in the sperm ducts. The ciliated columnar epithelium lines the trachea (wind-pipe), bronchi (lungs), kidney tubules and oviducts (Fallopian tubes). The rhythmic, concerted beating of the cilia moves solid particles (e.g., mucus) in one direction through the ducts."
33,Chapter 6 - Tissues,Connective Tissue,"The connective tissue is specialised to connect and anchor various body organs, muscles to bones, blind tissues and can also give support to various parts of body by creating a packing around organs. The packing would prevent the organs from getting displaced by body movements. Thus, the main functions of connective tissue are binding, supporting, and packing together different organs of the body. The cells of connective tissue are living, separated from each other (i.e., loosely spaced ) and low in number. Homogeneous, gel-like intercellular substance called medium or matrix forms the main bulk of the connective tissue. Thus, space between cells is filled with a non-living matrix which may be solid as in bone and cartilage and fluid as in the blood. The matrix may be jelly like, fluid, dense or rigid. The nature of matrix differs in concordance with the function of the particular connective tissue. Blood:- Blood has a fluid (liquid) matrix called plasma, in which red blood cells (RBCs), white blood cells (WBCs) and platelets are suspended. The plasma contains proteins, salts and hormones .Blood flows and transports gases, digested food, hormones and waste materials to different parts of the body. Blood transports nutrients, hormones and vitamins to the tissue and transports excretory products from the tissue to the liver and kidney. The red blood corpuscles (RBCs) carry oxygen to the tissues for the oxidation of food stuff. The white blood cells (WBCs) fight disease either by engulfing and destroying foreign bodies or by producing antitoxins and antibodies that neutralise the harmful effects of germs. Blood platelets disintegrated at the site of injury and help in the clotting of blood. Bone:- Bone is another example of connective tissue. It forms the framework that supports the body. It also anchors the muscles and supports the main organs of the body. it is a strong and nonflexible tissue . It is porous, highly vascular, mineralised, hard and rigid. Its matrix is made up of proteins. Bone cells are embedded in a hard matrix that is composed of calcium and phosphorus compounds. Two bones can be connected to each other by another type of connective tissue called the ligaments. This tissue is very elastic. It has considerable strength. Ligaments contain very little matrix. Tendons connect muscles to bones and are another type of connective tissue. Tendons are fibrous tissue with great strength but limited flexibility. Cartilage:- The cartilage is a specialised connective which is compact and less vascular. It has widely spaced out cells. Its extensive matrix is composed of proteins, and is slightly hardened by calcium salts. Cartilage smoothens bone surfaces at joints and is also present in the nose, ear, trachea and larynx. We can fold the cartilage of the ears, but we can not bend the bones in our arms. Areolar connective tissue is found between the skin and muscles, around blood vessels and verves and in the bone marrow. It fills the space inside the organs, supports internal organs and helps in repair of tissues. fat storing adipose tissue is found below the skin and between internal organs, The cells of this skin tissue are filled with fat globules. Storage of fats also lets it act as an insulator."
34,Chapter 6 - Tissues,Muscular Tissue,"Muscular tissue consists of elongated cells, also called muscle fibres. This tissue is responsible for movement in our body. Muscles contain special proteins called contractile proteins, which contract and relax to cause movement. Muscles present in our limbs move when we want them to, and stop when we so decide. Such muscles are called voluntary muscles. These muscles are also called skeletal muscles as they are mostly attached to bones and help in body movement. On the basis of their location, structure and function, there are following three types of muscle fibres :- 1. Striated muscles 2. Smooth muscle 3. Cardiac muscles Striated Muscles:- These muscles show alternate light and dark bands or striations when stained appropriately. They are called striated muscles. The cells of this tissue are long, cylindrical, unbranched and multinucleate. They are attached to the bones and are responsible for body movements, they are called skeletal muscles. These muscles work accordingly to our will, they are also called voluntary muscles. Smooth Muscles:- Smooth muscles do not work according to our will, so they are also called involuntary muscles. In some organs, smooth muscles contract throughout the organ to produce extrusive movements as in the urinary bladder, the gall bladder and the uterus. They are also found in iris of the eye, in the bronchi of the lungs. Cardiac Muscles:- The muscles of the heart show rhythmic contraction and relaxation throughout life. These involuntary muscles are called cardiac muscles. Heart muscle cells are cylindrical, branched and uninucleate. The contraction and relaxation of the heart muscles help to pump and distribute blood to various parts of body."
35,Chapter 6 - Tissues,Nervous Tissue,"Nervous tissue is a tissue which is specialized to transmit messages within our body. Brain, spinal cord and nerves are all composed of nervous tissue. Nervous tissue contains highly specialized unit cells called nerve cells or neurons. Neurons have the ability to receive stimuli from within or outside the body and to conduct impulses to different parts of our body. The impulse travels from one neuron to another neuron. A neuron consists of a cell body with a nucleus and cytoplasm, from which long thin hair-like parts arise . Usually each neuron has a single long part, called the axon, and many short, branched parts called dendrites. An individual nerve cell may be up to a metre long. many nerve fibres bound together by connective tissue make up nerve. The functional combination of nerve and muscle tissue is fundamental to most animals. This combination enables animals to move rapidly in response to stimuli."
36,Chapter 7 - Diversity in Living Organisms,The Hierarchy of Classification-Groups,"Biologists, such as Ernst Haeckel (1894), Robert Whittaker (1959) and Carl Woese (1977) have tried to classify all living organisms into broad categories, called Kingdoms. The classification Whittaker proposed has five kingdoms : Monera, Protista, Fungi, Plantae and Animalia, and is widely used. These groups are formed on the basis of their cell structure, mode and source of nutrition and body organisation. The modification Woese introduced by dividing the Monera into Archaebacteria (or Archaea) and Eubacteria (or Bacteria) is also in use. Further classification is done by naming the sub-groups at various levels as given in the following scheme: Kingdom Phylum (for animals) / Division (for plants) Class Order Family Genus Species Species: It is a basic unit for understanding taxonomy as well as evolution. Species is a group of individuals with similar morphological characters, which are able to breed among themselves and produce fertile offsprings of their own kind. Individually of the same species resemble each other closely both structurally and functionally. Genus: It is a group of species which are related and have less characters in common as compared to species. Members of a genus have identical reproductive organs. Family: It is represented by a group of related genera that are more similar to each other than with the genera of other families. Order: It is an assemblage of families resembling one another in a few characters. Class: It represents organisms of related orders. Phylum: It includes all organisms belonging to different classes having a few common characters. kingdom: It includes all organisms who share a set of distinguishing common characters. Thus, by separating organisms on the basis of a hierarchy of characteristics into smaller and smaller groups, we arrive at the basic unit of classification, which is a ‘species’. Broadly, a species include all organisms that are similar enough to breed and perpetuate."
37,Chapter 7 - Diversity in Living Organisms,Animalia,"These are organisms which are eukaryotic, multicellular and heterotrophic. Their cells do not have cell-walls. Most animals are mobile. They are further classified based on the extent and type of the design differentiation found. PORIFERA:- The word Porifera means organisms with holes. These are holes or ‘pores’, all over the body. These lead to a canal system that helps in circulating water throughout the body to bring in food and oxygen. These animals are covered with a hard outside layer or skeleton. The body design involves very minimal differentiation and division into tissues. They are commonly called sponges, and are mainly found in marine habitats. Some examples are Euplectelea, Sycon and Spongilla. COELENTERATA:-These are animals living in water. They show more body design differentiation. There is a cavity in the body. The body is made of two layers of cells: one makes up cells on the outside of the body, and the other makes the inner lining of the body. Some of these species live in colonies (corals), while others have a solitary like-span (Hydra). jellyfish and sea anemones are common examples. PLATYHELMINTHES:- The body of animals in this group is far more complexly designed than in the two other groups we have considered so far. The body is bilaterally symmetrical, meaning that the left and the right halves of the body have the same design. There are three layers of cells from which differentiated tissues can be made, which is why such animals are called triploblastic. This allows outside and inside body linings as well as some organs to be made. There is thus some degree of tissue formation. However, there is no true internal body cavity or coelom, in which well-developed organs can be accommodated. The body is flattened dorsiventrally, meaning from top to bottom, which is why these animals are called flatworms. They are either free- living or parasitic. Some examples are free- living animals like planarians, or parasitic animals like liverflukes for examples. NEMATODA:- The nematode body is also bilaterally symmetrical and triploblastic. However, the body is cylindrical rather than flattened. There are tissues, but no real organs, although a sort of body cavity or a pseudocoelom, is present. There are very familiar as parasitic worms causing diseases, such as the worms causing elephantiasis (filarial worms) or the worms in the intestines (roundworm or pinworms). Some examples are Ascaris and Wuchereria. ANNELIDA:- Annelid animals are also bilaterally symmetrical and triploblastic, but in addition they have a true body cavity. This allows true organs to be packaged in the body structure. There is, thus, extensive organ differentiation . This differentiation occurs in a segmental fashion, with the segments lined up one after the other from head to tail. These animals are found in a variety of habitats-fresh water marine water as well as land. Earthworms and leeches are familiar examples Nereis, Earthworms and Leech. This is probably the largest group of animals. These animals are bilaterally symmetrical and segmented. There is an open circulatory system, and so the blood does not flow in well-defined blood vessels. The coelomic cavity is blood-filled. They have jointed legs (the word ‘arthropod’ means ‘jointed legs’). Some familiar examples are prawns, butterflies, houseflies, spiders, scorpions and crabs. MOLLUSCA:- In the animals of this group, there is bilateral symmetry. The coelomic cavity is reduced. There is little segmentation. They have an open circulatory system and kidney-like organs for excretion. There is a foot that is used for moving around. Examples are snails and mussels. ECHINODERMATA:- In Greek, echinos means hedgehog, and derma means skin. Thus, these are spiny skinned organisms. These are exclusively free-living marine animals. They are triploblastic and have a coelomic cavity. They also have a peculiar water-driven tube system that they use for moving around. They have hard calcium carbonate structures that they use as a skeleton. Examples are starfish and sea urchins. PROTOCHORDATA:-These animals are bilaterally symmetrical, triploblastic and have a coelom. In addition, they show a new feature of body design, namely a notochord, at least at some stages during their lives. The notochord is a long rod-like support structure (chord=string) that runs along the back of the animal separating the nervous tissue from the gut. It provides a place for muscles to attach for ease of movement. Protochordates may not have a proper notochord present at all stages in their lives or for the entire length of the animal. Protochordates are marine animals. Examples are Balanoglossus, Herdmania and Amphioxus. VERTEBRATA:- These animals have a true vertebral column and internal skeleton, allowing a completely different distribution of muscle attachment points to be used for movements. Vertebrates are bilaterally symmetrical, triploblastic, coelomic and segmented, with complex differentiation of body tissues and organs. All chordates possess the following features:- have a notochord have a dorsal nerve cord are triploblastic have paired gill pouches are coelomate Vertebrates are grouped into five classes:- PISCES:-These are fish. They are exclusively aquatic animals. Their skin is covered with scales/plates. They obtain oxygen dissolved in water by using gills. The body is streamlined, and a muscular tail is used for movement. They are cold-blooded and their hearts have only two chambers, unlike the four that humans have. They lay eggs, we can think of many kinds of fish, some with skeletons made entirely of cartilage, such as sharks and some with a skeleton made of both bone and cartilage, such as tuna or roho. AMPHIBLA:- These animals differ from the fish in the lack of scales, in having mucus galnds in the skin, and a three-chambered heart. Respiration is through either gills or lungs. They lay eggs. These animals are found both in water and on land. Frogs, toads and salamanders are some examples. REPTILIA:- These animals are cold-blooded, have scales and breathe through lungs. While most of them have a three-chambered heart, crocodiles have four heart chambers. They lay eggs with tough coverings and do not need to lay eggs in water, unlike amphibians. Snakes, turtles, lizards and crocodiles fall in this category. AVES:- These are warm-blooded animals and have a four-chambered heart. They lay eggs. There is an outside covering of feathers, and two forelimbs are modified for flight. They breathe through lungs. All birds fall in this category MAMMALIA:- Mammals are worm-blooded animals with four-chambered hearts. They have mammary glands for the production of milk to nourish their young. Their skin has hairs as well as sweat and oil glands. Most mammals familiar to us produce live young ones. However, a few of them, like the platypus and the echidna lay eggs, and some, like kangaroos give birth to very poorly developed young ones. Some examples are cat, human, rat and bat."
38,Chapter 7 - Diversity in Living Organisms,Detailed Classification of Kingdom Plantae,"Kingdom plantae is further divided into various divisions based on various criteria. The first level of classification among plants depends on whether or not the plant body has well-differentiated, distinct components. The next level of classification is based on whether the differentiated plant body has special tissues (vascular tissues-the xylem and phloem) for transport of water and other substances within the plant body. Further classification of plants involves criteria, such as , ability to bear seeds and whether the seeds are enclosed within fruits. THALLOPHYTA:- Plants that do not have well-differentiated body design fall in this group. The plants in this group are commonly called algae. These plants are predominantly aquatic. Examples are Spirogyra, Ulothrix, Cladophora and Chara. BRYOPHYTA:- These are called the amphibians of the plant kingdom. These body is commonly differentiated to form stem and leaf- like structures. However, there is no specialised tissue for the conduction of water and other substances from one part of the plant body to another. Examples are moss (Funaria) and Marchantia. PTERIDOPHYTA:-In this group, the plant body is differentiated into roots, stem and leaves and has specialised tissue for the conduction of water and other substances from one part of the plant body to another. Some examples are Marsilea, Ferns and horse-tails. The thallophytes, the bryophytes and the pteridophytes have naked embryos that are called spores. The reproductive organs of plants in all these three groups are very inconspicuous, and they are therefore called ‘cryptogamae’, or ‘those with hidden reproductive organs’. On the other hand, plants with well-differentiated reproductive tissues that ultimately make seeds are called phanerogams. Seeds are the result of the reproductive process. They consist of the embryo along with stored food, which serves for the initial growth of the embryo during germination. This group is further classified, based on whether the seeds are naked or enclosed in fruits, giving us two groups: gymnosperms and angiosperms. GYMNOSPERMS: This term is made from two Greek words: gymno-means naked and sperms- means seed. This plants of this group bear naked seeds and are usually perennial, evergreen and woody. Examples are pines and deodar. ANGIOSPERMS: This word is made two Greek words: angio means covered and sperma-means seeds. The seeds develop inside an organ which is modified to become a fruit. These are also called flowering plants. Plants embryos in seeds have structures called cotyledons. Cotyledons are called ‘seed leaves’ because in many instances they emerge and become green when the seed germinates. Thus, cotyledons represent a bit of ore-designed plant in the seed. The angiosperms are divided into two groups on the basis of number of cotyledons present on the seed. Plants with seeds having a single cotyledons are called monocotyledons or monocots. Plants with seeds having two cotyledons are called dicots. Fig: Classification of plants"
39,Chapter 7 - Diversity in Living Organisms,Classification and Evolution,"All living things are identified and categorised on the basis of their body design in form and function. Some characteristics are likely to make more wide-ranging changes in body design than others. There is a role of time in this as well. So, once a certain body design comes into existence, it will shape the effects of all other subsequent design changes, simply because it already exists. In other words, characteristics that came into existence earlier are likely to be more basic than characteristics that have come into existence later. Most life forms that we see today have arisen by an accumulation of changes in body design that allow the organism processing them to survive better. Charles Darwin first described this idea of evolution in 1859 in his book, The Origin of Species. When we connect this idea of evolution to classification, we will find some groups of organisms which have ancient body design that have not changed very much. We will also find other groups of organisms that have acquired their particular body designs relatively recently. Those in the first group are frequently refferred to as ‘primitive’ or ‘lower’ organisms, while those in the second group are called ‘advanced’ or ‘higher’ organisms. In other words, it can be said that first formed (ancient, older) organisms are simpler, while younger organisms (later formed, modern) are more complex, i.e., complexity in design of simpler forms has increased over evolutionary time, so that they ultimately become more complex."
40,Chapter 7 - Diversity in Living Organisms,Basis of classification,"Attempts at classifying living things into groups have been made since time immemorial. Greek thinker Aristotle classified animals according to whether they lived on land, in water or in the air. This is a very simple way of looking at life, but misleading too. For example, animals that live in the sea include corals, whales, octopus, starfish and sharks. The diversity shown among present day living organisms is an outcome of the past 3.5 billion years of organic evolution. During this time a great number of new species originated and many more became extinct. Science of Palaeontology studies evidences of the past life, in the form of fossils. with such a huge repository of organisms, it would be almost impossible to study each and every living form separately at an individual level. So, to study the diversity among living organisms is an effective way, we need to arrange various kinds of organisms in an orderly or systematic manner. The method of arranging organisms into groups or sets on the basis of similarities and differences is called classification. Importance of classification The science of classification is known as taxonomy. It is an important branch of biological science. Classification of living organisms has the following advantages:- Classification makes the study of a wide variety of organisms easy. Classification projects before us a picture of all forms at a glance. Classification is essential to understand the interrelationships among different groups of organisms. Classification forms a base for the development of other biological sciences."
41,Chapter 7 - Diversity in Living Organisms,Biodiversity: Diversity of Plants and Animals,"Each organism in this world, whether it is a plant, an animal or a microorganisms ( viruses, bacteria, unicellular eukaryotes ), is unique in itself. This uniqueness of individuals forms the basis of the diversity among the living organisms. The term “biodiversity” is a concise form of “Biological Diversity”. It was coined by Walter G. Rosen in 1986. Biodiversity refers to the diverse or varied forms of living beings which differ from one another in external appearance, size, colour pattern, internal structure, nutrition, behaviour, habitat, etc. Currently there are 1.7 to 1.8 million organisms, all of which are different from one another. They range in size from microorganisms bacteria, hardly a few micrometres in size, to blue whales ( about 30m in length ) and Redwood trees ( Sequoia ) of California ( about 100m in height ). Some pine trees (e.g., Pinus ) live for thousands of years while many insects such as mosquitoes have a life span of a few days. The diversity extends to habitat, habits, nutrition, forms, etc., of different organisms. This bewildering variety of life around us has evolved on the earth over millions of years. However, we do not have more than a tiny fraction of this time to try and understand all these living organisms, so we cannot look at them one by one. instead, we look for similarities among the organisms which will allow us to put them into different classes and then study different classes or groups as a whole."
